pid	label	datatype	allowed_classes
P212	ISBN-13	ExternalId	Q1266946,Q131436,Q1711593,Q187685,Q317623,Q3331189,Q732577,Q7889
P393	edition number	String	Q10688145,Q11424,Q1187691,Q13136,Q13219666,Q13406554,Q1364556,Q1656682,Q20826013,Q24862,Q27968055,Q3331189,Q732577,Q79719
P957	ISBN-10	ExternalId	Q131436,Q187685,Q3331189,Q5292,Q732577,Q7889
P996	document file on Wikimedia Commons	CommonsMedia	Q110156968,Q1238720,Q3331189,Q49848
P1025	SUDOC editions	ExternalId	Q1266946,Q2217301,Q3331189,Q482994,Q732577
P1042	ZDB ID	ExternalId	Q1002697,Q105420,Q1700470,Q3331189,Q8513
P1084	EUL editions	ExternalId	Q3331189
P1144	Library of Congress item ID (LCCN bibliographic)	ExternalId	Q11424,Q162827,Q1641020,Q169930,Q187947,Q2217301,Q24862,Q3302947,Q3331189,Q34508,Q35127,Q4006,Q482994,Q7094076,Q732577,Q87167
P1234	ISFDB publication ID	ExternalId	Q3331189,Q732577
P1292	DNB edition ID	ExternalId	Q1002697,Q10383930,Q11032,Q13442814,Q134556,Q169930,Q18127,Q1917775,Q2122677,Q2442401,Q277759,Q3331189,Q35127,Q41298,Q482994,Q5633421,Q732577
P1575	RISS catalog	ExternalId	Q3331189
P1725	beats per minute	Quantity	Q189214,Q2188189,Q3331189,Q7302866
P1733	Steam application ID	ExternalId	Q11424,Q116779426,Q16070115,Q166142,Q193564,Q209163,Q24862,Q3331189,Q482994,Q5398426,Q62008942,Q7889,Q865493
P1752	scale	Quantity	Q11422,Q115461282,Q1232589,Q1734578,Q179700,Q207977,Q3331189,Q4006,Q436435,Q6498959,Q725252,Q860861
P1823	BAnQ work ID	ExternalId	Q3331189
P1844	HathiTrust ID	ExternalId	Q1002697,Q1238720,Q3331189
P1957	Wikisource index page URL	Url	Q10870555,Q110879246,Q11424,Q1238720,Q133492,Q1338914,Q13442814,Q18918145,Q28869365,Q3331189,Q35760,Q49848,Q820655,Q87167
P2034	Project Gutenberg ebook ID	ExternalId	Q3331189
P2969	Goodreads version/edition ID	ExternalId	Q136747113,Q136832029,Q3331189,Q57933693,Q732577
P3030	sheet music	CommonsMedia	Q2188189,Q3331189,Q862597
P3184	Czech National Bibliography ID	ExternalId	Q3331189,Q732577
P4700	Cairn publication ID	ExternalId	Q20655472,Q3331189,Q41298,Q591041,Q685935
P4876	number of records	Quantity	Q108566342,Q1172284,Q1469824,Q15097084,Q15633582,Q15720608,Q19847637,Q23622,Q3331189,Q5292,Q80793969,Q8513
P4956	BDH edition ID	ExternalId	Q3331189,Q87167
P5199	British Library system number	ExternalId	Q1002697,Q1266946,Q3331189,Q53731850,Q63872468
P5485	SBN books ID	ExternalId	Q3331189,Q732577
P5530	Altmetric DOI	ExternalId	Q13442814,Q3331189,Q5633421
P5905	Comic Vine ID	ExternalId	Q11424,Q125632018,Q14406742,Q14897293,Q151885,Q15416,Q16334295,Q1760610,Q18706315,Q19958368,Q21191270,Q28869447,Q3331189,Q5,Q618123,Q747381,Q8274
P6211	BIBSYS work ID	ExternalId	Q3331189
P6291	advertises	WikibaseItem	Q105449313,Q1094729,Q11170170,Q11796892,Q11997526,Q17558136,Q1761818,Q18670161,Q1869909,Q2031291,Q2441722,Q25485678,Q264922,Q2932642,Q3331189,Q37038,Q42470,Q429785,Q4686758,Q5175225,Q5257307,Q63952888,Q728121,Q854995
P6494	Incunabula Short Title Catalogue ID	ExternalId	Q3331189
P6676	OpenEdition text ID	ExternalId	Q1980247,Q3331189
P6786	National Library of Wales Catalogue ID	ExternalId	Q1002697,Q3331189,Q4006,Q53731850,Q838948
P6901	NooSFere edition ID	ExternalId	Q3331189
P7234	Scribd item ID	ExternalId	Q106833,Q191067,Q28869365,Q3331189,Q49848
P7417	image of back side	CommonsMedia	Q10145,Q108352496,Q108352648,Q1211272,Q131647,Q1570005,Q178743,Q193622,Q29024343,Q3235781,Q3305213,Q3331189,Q41207,Q87167,Q921099
P7869	Analysis & Policy Observatory node ID	ExternalId	Q10870555,Q13442814,Q3331189,Q43229,Q5
P8522	Manioc book ID	ExternalId	Q3331189
P8544	Frauen in Bewegung 1848â1938 ID	ExternalId	Q187685,Q3331189,Q43229,Q5
P8619	BD Gest' series ID	ExternalId	Q104213567,Q14406742,Q1760610,Q3331189,Q867242
P8752	Kramerius of Moravian Library UUID	ExternalId	Q1002697,Q191067,Q3331189
P8758	PersÃ©e article ID	ExternalId	Q13442814,Q3331189
P8875	indexed in bibliographic review	WikibaseItem	Q2217301,Q3331189,Q45787211,Q83790
P9038	CalamÃ©o ID	ExternalId	Q3331189
P9518	Danmarks Tekniske Kulturarv book ID	ExternalId	Q3331189
P9658	Standard Citation Forms for Rare Materials Cataloging ID	ExternalId	Q1631107,Q1789476,Q3331189
P9767	edition/version	Monolingualtext	Q108346082,Q108352648,Q10929058,Q1421134,Q193977,Q2031291,Q20826013,Q3331189,Q5610543,Q7302866
P9774	BNM bibliographic record ID	ExternalId	Q3331189
P9972	illustrative content	WikibaseItem	Q1266946,Q3030630,Q3331189,Q732577
P9990	Literature.com book ID	ExternalId	Q3331189
P9991	Literature.com ebook ID	ExternalId	Q3331189
P10000	Research Vocabularies Australia ID	ExternalId	Q1469824,Q324254,Q3331189,Q7094076
P10156	Numelyo ID	ExternalId	Q125191,Q192425,Q3331189,Q37930,Q429785,Q53731850,Q87167
P10619	Kramerius of Regional Library in Pardubice UUID	ExternalId	Q1002697,Q3331189
P10816	National Union Catalog ID	ExternalId	Q3331189
P10923	error-report URL or e-mail	Url	Q19847637,Q3331189,Q7094076
P10962	Czechoslovak book ID	ExternalId	Q28869365,Q3331189
P11106	alphabetical index	WikibaseItem	Q3331189
P11308	GCD issue ID	ExternalId	Q140727568,Q1760610,Q3331189,Q725377
P11378	DML-CZ publication ID	ExternalId	Q1143604,Q13442814,Q18918145,Q193495,Q3331189,Q591041
P11959	BHL item ID	ExternalId	Q1238720,Q3331189,Q732577
P11980	Diamond Catalog edition ID	ExternalId	Q3331189,Q87167
P12051	National Library of Albania edition ID	ExternalId	Q3331189
P12071	MUSE book ID	ExternalId	Q3331189
P12147	Danacode (short)	ExternalId	Q3331189
P12148	Danacode (long)	ExternalId	Q3331189
P12247	Walmart product ID	ExternalId	Q3331189
P12299	Digicarmel ID	ExternalId	Q3331189,Q43229,Q5,Q618123
P12351	BookBrainz edition ID	ExternalId	Q3331189
P12781	Correspondence from the Early Romantic Period Work ID	ExternalId	Q15621286,Q3331189
P12882	Iraqnla book ID	ExternalId	Q3331189
P13032	Kramerius of Czech Digital Library UUID	ExternalId	Q3331189
P14118	DOAB book ID	ExternalId	Q3331189
P14482	Defense Technical Information Center Accession Number	ExternalId	Q187685,Q18918145,Q3331189
P14502	British Library catalogue ID	ExternalId	Q3331189
P14662	Anobii Book ID	ExternalId	Q3331189
