safe_batch	prefix_on_other_qid	is_publisher	is_person	qid_prefix_count	triage	status	list_prefix	qid	publisher	p31_types	existing_P3035	part_of_P749	replaces_P1365	replaced_by_P1366	aliases_en	batch_group	registry
yes		yes		1	clean	missing	978-0-237	Q5415888	Evans Brothers	publishing house					Evans Brothers Limited | Evans Bros. | Evans Bros	commercial	
yes		yes		1	clean	missing	978-0-385	Q1251563	Doubleday (publisher)	book publisher; printing company; publishing house; enterprise					Doubleday, Page & Company | Doubleday & McClure | The Doubleday Publishing Group | Doubleday, Doran & Company | Doubleday & McClure Company | Doubleday & Co. Inc.	commercial	
yes		yes		1	clean	missing	978-0-390	Q4781383	Appleton-Century-Crofts	book publisher						commercial	
yes		yes		1	clean	missing	978-0-396	Q5287721	Dodd, Mead	publishing house					DODD, MEAD AND COMPANY, lnc. | Dodd, Mead & Company | Dodd, Mead and Company | Dodd, Mead, and Company	commercial	
yes		yes		1	clean	missing	978-0-405	Q85743069	Arno Press	publishing house						commercial	
yes		yes		1	clean	missing	978-0-426	Q7893865	Universal-Tandem Publishing Co Ltd	publishing house						commercial	
yes		yes		1	clean	missing	978-0-440	Q2075464	Dell Publishing	publishing house; comics publishing company					Dell Publishing Co. | Random House Publishing Group | Dell | Dell Publishing Company	commercial	
yes		yes		1	clean	missing	978-0-449	Q2881141	Ballantine Books	publishing house; imprint; enterprise						commercial	
yes		yes		1	clean	missing	978-0-450	Q7007462	New English Library	publishing house						commercial	
yes		yes		1	clean	missing	978-0-500	Q2733669	Thames & Hudson	publishing house; book publisher					Thames and Hudson | T&H	commercial	
yes		yes		1	clean	missing	978-0-528	Q1586156	Rand McNally	business; enterprise; publishing house; map publishing company					Rand, McNally and Company | Rand, McNally & Co. | Rand McNally and Company | Rand McNally & Co. | Rand McNally & Company | RM Technologies, Inc. d/b/a Rand McNally | Rand McNally & Co. (Chicago)	commercial	
yes		yes		1	clean	missing	978-0-531	Q1403309	Franklin Watts	publishing house					Grolier, Inc. | Grolier Incorporated	commercial	
yes		yes		1	clean	missing	978-0-573	Q7411424	Samuel French Ltd	business; publishing house					Samuel French Inc. | Samuel French Incorporated | Samuel French	commercial	
yes		yes		1	clean	missing	978-0-614	Q463779	American Concrete Institute	organization; academic publisher					ACI | National Association of Cement Users | NACU	commercial	
yes		yes		1	clean	missing	978-0-673	Q7436348	Pearson Scott Foresman	education company					Pearson Scott Foresman	commercial	
yes		yes		1	clean	missing	978-0-7011	Q3666843	Chatto & Windus	publishing house; book publisher					Chatto and Windus	commercial	
yes		yes		1	clean	missing	978-0-7012	Q1623362	Hogarth Press	publishing house; book publisher						commercial	
yes		yes		1	clean	missing	978-0-7022	Q7896194	University of Queensland Press	publishing house; university press					UQP	commercial	
yes		yes		1	clean	missing	978-0-7044	Q223429	University of Birmingham	public research university; open-access publisher; educational organization						commercial	
yes		yes		1	clean	missing	978-0-7055	Q17067645	Victoria University Press	publishing house; university press					Victoria University Press | VUP Press | THW Press | Victoria University of Wellington Press | Te Herenga Waka – Victoria University of Wellington Press | Te Herenga Waka Press | VUP	commercial	
yes		yes		1	clean	missing	978-0-7110	Q5980753	Ian Allan Publishing	publishing house; book publisher					Ian Allan Publishing	commercial	
yes		yes		1	clean	missing	978-0-7135	Q5536864	George Bell & Sons	book publisher						commercial	
yes		yes		1	clean	missing	978-0-7145	Q6765097	Marion Boyars Publishers	publishing house					Marion Boyars | M. Boyars	commercial	
yes		yes		1	clean	missing	978-0-7148	Q928675	Phaidon Press	book publisher					Phaidon	commercial	
yes		yes		1	clean	missing	978-0-7153	Q5230412	David & Charles	publishing house						commercial	
yes		yes		1	clean	missing	978-0-7156	Q15839178	Gerald Duckworth and Company	publishing house					Gerald Duckworth and Company	commercial	
yes		yes		1	clean	missing	978-0-7171	Q5561874	Gill and Macmillan	business; book publisher; book distributor					Gill & Macmillan | Gill Books | Gill Education | Gill Distribution | M. H. Gill | M. H. Gill & Son	commercial	
yes		yes		1	clean	missing	978-0-7187	Q170027	University of London	university; higher education institution; open-access publisher; educational organization					London University | Lond.	commercial	
yes		yes		1	clean	missing	978-0-7188	Q6705969	Lutterworth Press	publishing house					The Lutterworth Press	commercial	
yes		yes		1	clean	missing	978-0-7206	Q7176251	Peter Owen Publishers	publishing house						commercial	
yes		yes		1	clean	missing	978-0-7230	Q7806522	Times Books	publishing house					New York Times Book Company	commercial	
yes		yes		1	clean	missing	978-0-7232	Q3087181	Frederick Warne & Co	publishing house					F. Warne & Co | F. Warne and Co | Frederick Warne	commercial	
yes		yes		1	clean	missing	978-0-7259	Q531285	University of Newcastle, Australia	public university; open-access publisher; nonprofit organization					The University of Newcastle | Newcastle University | UON | The University of Newcastle, Australia	commercial	
yes		yes		1	clean	missing	978-0-7300	Q1180978	Deakin University	public university; open-access publisher					Deakin	commercial	
yes		yes		1	clean	missing	978-0-7326	Q598841	Monash University	public university; open-access publisher; production company; nonprofit organization						commercial	
yes		yes		1	clean	missing	978-0-7354	Q465230	American Institute of Physics	scientific society; publishing house; open-access publisher; archives; nonprofit organization					AIP | aip.org	commercial	
yes		yes		1	clean	missing	978-0-7377	Q7368507	Greenhaven Press	publishing house						commercial	
yes		yes		1	clean	missing	978-0-7385	Q4785161	Arcadia Publishing	business; book publisher					Arcadia Publishing Inc.	commercial	
