# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q1004825	119(en/Text)	A Tramp Abroad
Q1035603	2312(de/Text)	Hermann and Dorothea
Q10392559	40248(fr/Text)	Voyage Around My Room
Q104145661	12366(en/Text)	The Cost of Shelter
Q104223644	10466(en/Text)	Little Saint Elizabeth and Other Stories
Q10483376	146(en/Text)	A Little Princess
Q1053359	7206(de/Text)	The Birth of Tragedy
Q105476036	25614(it/Text)	
Q1055008	226(la/Text)	Catiline Orations
Q1066765	1045(en/Text)	Venus and Adonis
Q10688399	12780(fi/Text)	The Song of the Blood-Red Flower
Q1072741	5131(en/Text)	Childe Harold's Pilgrimage
Q1075072	1755(en/Text)	Ivanov
Q1079681	13(en/Text)	The Hunting of the Snark
Q108649525	69808(en/Text)	
Q1090228	1712(en/Text)	The Rescue
Q10903147	25173(zh/Text)	Bei meng suo yan
Q1090444	638(en/Text)	An Outcast of the Islands
Q1093419	31538(de/Text)	Peter Schlemihl
Q109578853	59788(en/Text)	The poetical works of Thomas Campbell
Q1098300	11263(en/Text)	Claudius Bombarnac
Q110190124	64739(en/Text)	Paula Monti ou l'Hôtel Lambert
Q110190148	69714(en/Text)	The Discarded Daughter, or the Children of th
Q110286316	60174(en/Text)	The Children of the Abbey: a tale
Q110799829	69402(en/Text)	Twice round the Clock; or the Hours of the da
Q111271907	1273(en/Text)	The Autobiography of a Slander
Q11135674	25162(zh/Text)	池北偶談
Q1120858	451(en/Text)	The Shadow-Line
Q1121567	7442(fr/Text)	Michael Strogoff
Q1129378	69700(en/Text)	The Case-Book of Sherlock Holmes
Q1131648	245(en/Text)	Life on the Mississippi
Q11336	28961(en/Text)	Heart
Q1134140	1051(en/Text)	Sartor Resartus
Q1138346	5250(fr/Text)	Nana
Q1140185	73584(en/Text)	The Guide for the Perplexed
Q1141090	25282(en/Text)	Der Judenstaat
Q1141764	965(en/Text)	The Black Tulip
Q1142149	1307(en/Text)	La Peau de chagrin
Q1143075	885(en/Text)	An Ideal Husband
Q1147121	972(en/Text)	The Devil's Dictionary
Q1151748	1661(en/Text)	The Man with the Twisted Lip
Q1152137	1044(en/Text)	Extract from Captain Stormfield's Visit to He
Q1152283	2680(en/Text)	Meditations
Q1157010	467(en/Text)	La Princesse de Clèves
Q1161171	37536(en/Text)	The House of the Dead
Q1164083	1079(en/Text)	The Life and Opinions of Tristram Shandy, Gen
